FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT
2023-08-07,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,2020,FLL,"Fort Lauderdale, FL",LGA,"New York, NY",1920,2157.0,157.0,46.0,2243.0,112.0,3.0,2223,115.0,172.0,0.0,,0.0,183.0,198.0,149.0,1076.0,0.0,0.0,75.0,0.0,97.0
2022-05-13,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,2063,LAX,"Los Angeles, CA",IAD,"Washington, DC",2316,2313.0,-3.0,13.0,2326.0,658.0,8.0,704,706.0,2.0,0.0,,0.0,288.0,293.0,272.0,2288.0,,,,,
2021-03-31,Envoy Air,Envoy Air: MQ,MQ,20398,3838,DFW,"Dallas/Fort Worth, TX",DAY,"Dayton, OH",1227,1239.0,12.0,21.0,1300.0,1541.0,5.0,1550,1546.0,-4.0,0.0,,0.0,143.0,127.0,101.0,861.0,,,,,
2019-01-30,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,5608,LAX,"Los Angeles, CA",SEA,"Seattle, WA",925,916.0,-9.0,26.0,942.0,1202.0,11.0,1239,1213.0,-26.0,0.0,,0.0,194.0,177.0,140.0,954.0,,,,,
2022-09-18,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,5471,IAH,"Houston, TX",MAF,"Midland/Odessa, TX",1155,1146.0,-9.0,8.0,1154.0,1255.0,6.0,1326,1301.0,-25.0,0.0,,0.0,91.0,75.0,61.0,429.0,,,,,
2023-06-27,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,5215,MSO,"Missoula, MT",SFO,"San Francisco, CA",1623,1617.0,-6.0,15.0,1632.0,1731.0,12.0,1750,1743.0,-7.0,0.0,,0.0,147.0,146.0,119.0,769.0,,,,,
2020-07-28,Republic Airline,Republic Airline: YX,YX,20452,5660,LGA,"New York, NY",BNA,"Nashville, TN",1600,1551.0,-9.0,13.0,1604.0,1657.0,11.0,1728,1708.0,-20.0,0.0,,0.0,148.0,137.0,113.0,764.0,,,,,
2023-06-04,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,2118,DEN,"Denver, CO",PHX,"Phoenix, AZ",2145,2206.0,21.0,11.0,2217.0,2240.0,3.0,2235,2243.0,8.0,0.0,,0.0,110.0,97.0,83.0,602.0,,,,,
2020-01-10,Republic Airline,Republic Airline: YX,YX,20452,5985,LGA,"New York, NY",DCA,"Washington, DC",1830,1825.0,-5.0,25.0,1850.0,1943.0,3.0,2005,1946.0,-19.0,0.0,,0.0,95.0,81.0,53.0,214.0,,,,,
2019-07-29,Mesa Airlines Inc.,Mesa Airlines Inc.: YV,YV,20378,6147,RDU,"Raleigh/Durham, NC",IAH,"Houston, TX",1855,2000.0,65.0,20.0,2020.0,2144.0,5.0,2050,2149.0,59.0,0.0,,0.0,175.0,169.0,144.0,1042.0,59.0,0.0,0.0,0.0,0.0
2022-06-29,PSA Airlines Inc.,PSA Airlines Inc.: OH,OH,20397,5222,DCA,"Washington, DC",CHS,"Charleston, SC",855,904.0,9.0,23.0,927.0,1035.0,3.0,1041,1038.0,-3.0,0.0,,0.0,106.0,94.0,68.0,444.0,,,,,
2023-06-15,JetBlue Airways,JetBlue Airways: B6,B6,20409,2001,BUF,"Buffalo, NY",JFK,"New York, NY",605,600.0,-5.0,11.0,611.0,711.0,6.0,727,717.0,-10.0,0.0,,0.0,82.0,77.0,60.0,301.0,,,,,
2021-04-17,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,5446,ORD,"Chicago, IL",FNT,"Flint, MI",1808,1803.0,-5.0,20.0,1823.0,1959.0,4.0,2015,2003.0,-12.0,0.0,,0.0,67.0,60.0,36.0,223.0,,,,,
2020-12-17,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,3419,SEA,"Seattle, WA",OAK,"Oakland, CA",1225,1218.0,-7.0,10.0,1228.0,1401.0,4.0,1432,1405.0,-27.0,0.0,,0.0,127.0,107.0,93.0,672.0,,,,,
2019-05-27,Alaska Airlines Inc.,Alaska Airlines Inc.: AS,AS,19930,818,HNL,"Honolulu, HI",SEA,"Seattle, WA",2205,2203.0,-2.0,16.0,2219.0,629.0,6.0,650,635.0,-15.0,0.0,,0.0,345.0,332.0,310.0,2677.0,,,,,
2023-08-22,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,2114,SNA,"Santa Ana, CA",DFW,"Dallas/Fort Worth, TX",1055,1050.0,-5.0,10.0,1100.0,1538.0,13.0,1608,1551.0,-17.0,0.0,,0.0,193.0,181.0,158.0,1205.0,,,,,
2021-02-04,JetBlue Airways,JetBlue Airways: B6,B6,20409,871,JFK,"New York, NY",SLC,"Salt Lake City, UT",730,724.0,-6.0,21.0,745.0,1035.0,13.0,1034,1048.0,14.0,0.0,,0.0,304.0,324.0,290.0,1990.0,,,,,
